authorshipnumber,articlenumber,journal,volume,issue,startpage,pubyear,pubmonth,receiveddate,title,link1,link2,last,first,middle,position
11,3,Ophthalmology,124,1,27,2017,1,26-Apr-16,Long-term Visual Outcomes and Complications of Boston Keratoprosthesis Type II Implantation.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=27538795,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:27538795&id=doi:10.1016%2Fj.ophtha.2016.07.011&issn=0161-6420&isbn=&volume=124&issue=1&spage=27&date=2017&title=Ophthalmology&atitle=Long-term+Visual+Outcomes+and+Complications+of+Boston+Keratoprosthesis+Type+II+Implantation.&aulast=Lee&pid=%3CAN%3E27538795%3C%2FAN%3E,Khoueir,Ziad,,m
12,3,Ophthalmology,124,1,27,2017,1,26-Apr-16,Long-term Visual Outcomes and Complications of Boston Keratoprosthesis Type II Implantation.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=27538795,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:27538795&id=doi:10.1016%2Fj.ophtha.2016.07.011&issn=0161-6420&isbn=&volume=124&issue=1&spage=27&date=2017&title=Ophthalmology&atitle=Long-term+Visual+Outcomes+and+Complications+of+Boston+Keratoprosthesis+Type+II+Implantation.&aulast=Lee&pid=%3CAN%3E27538795%3C%2FAN%3E,Tsikata,Edem,,m
13,3,Ophthalmology,124,1,27,2017,1,26-Apr-16,Long-term Visual Outcomes and Complications of Boston Keratoprosthesis Type II Implantation.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=27538795,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:27538795&id=doi:10.1016%2Fj.ophtha.2016.07.011&issn=0161-6420&isbn=&volume=124&issue=1&spage=27&date=2017&title=Ophthalmology&atitle=Long-term+Visual+Outcomes+and+Complications+of+Boston+Keratoprosthesis+Type+II+Implantation.&aulast=Lee&pid=%3CAN%3E27538795%3C%2FAN%3E,Chodosh,James,,m
14,3,Ophthalmology,124,1,27,2017,1,26-Apr-16,Long-term Visual Outcomes and Complications of Boston Keratoprosthesis Type II Implantation.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=27538795,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:27538795&id=doi:10.1016%2Fj.ophtha.2016.07.011&issn=0161-6420&isbn=&volume=124&issue=1&spage=27&date=2017&title=Ophthalmology&atitle=Long-term+Visual+Outcomes+and+Complications+of+Boston+Keratoprosthesis+Type+II+Implantation.&aulast=Lee&pid=%3CAN%3E27538795%3C%2FAN%3E,Dohlman,Claes,H,m
15,3,Ophthalmology,124,1,27,2017,1,26-Apr-16,Long-term Visual Outcomes and Complications of Boston Keratoprosthesis Type II Implantation.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=27538795,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:27538795&id=doi:10.1016%2Fj.ophtha.2016.07.011&issn=0161-6420&isbn=&volume=124&issue=1&spage=27&date=2017&title=Ophthalmology&atitle=Long-term+Visual+Outcomes+and+Complications+of+Boston+Keratoprosthesis+Type+II+Implantation.&aulast=Lee&pid=%3CAN%3E27538795%3C%2FAN%3E,Chen,Teresa,C,l
16,4,Ophthalmology,124,1,36,2017,1,28-Jun-16,Incidence and Outcomes of Positive Donor Corneoscleral Rim Fungal Cultures after Keratoplasty.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=27817919,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:27817919&id=doi:10.1016%2Fj.ophtha.2016.09.017&issn=0161-6420&isbn=&volume=124&issue=1&spage=36&date=2017&title=Ophthalmology&atitle=Incidence+and+Outcomes+of+Positive+Donor+Corneoscleral+Rim+Fungal+Cultures+after+Keratoplasty.&aulast=Vislisel&pid=%3CAN%3E27817919%3C%2FAN%3E,Vislisel,Jesse,M,f
17,4,Ophthalmology,124,1,36,2017,1,28-Jun-16,Incidence and Outcomes of Positive Donor Corneoscleral Rim Fungal Cultures after Keratoplasty.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=27817919,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:27817919&id=doi:10.1016%2Fj.ophtha.2016.09.017&issn=0161-6420&isbn=&volume=124&issue=1&spage=36&date=2017&title=Ophthalmology&atitle=Incidence+and+Outcomes+of+Positive+Donor+Corneoscleral+Rim+Fungal+Cultures+after+Keratoplasty.&aulast=Vislisel&pid=%3CAN%3E27817919%3C%2FAN%3E,Goins,Kenneth,M,m
18,4,Ophthalmology,124,1,36,2017,1,28-Jun-16,Incidence and Outcomes of Positive Donor Corneoscleral Rim Fungal Cultures after Keratoplasty.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=27817919,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:27817919&id=doi:10.1016%2Fj.ophtha.2016.09.017&issn=0161-6420&isbn=&volume=124&issue=1&spage=36&date=2017&title=Ophthalmology&atitle=Incidence+and+Outcomes+of+Positive+Donor+Corneoscleral+Rim+Fungal+Cultures+after+Keratoplasty.&aulast=Vislisel&pid=%3CAN%3E27817919%3C%2FAN%3E,Wagoner,Michael,D,m
19,4,Ophthalmology,124,1,36,2017,1,28-Jun-16,Incidence and Outcomes of Positive Donor Corneoscleral Rim Fungal Cultures after Keratoplasty.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=27817919,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:27817919&id=doi:10.1016%2Fj.ophtha.2016.09.017&issn=0161-6420&isbn=&volume=124&issue=1&spage=36&date=2017&title=Ophthalmology&atitle=Incidence+and+Outcomes+of+Positive+Donor+Corneoscleral+Rim+Fungal+Cultures+after+Keratoplasty.&aulast=Vislisel&pid=%3CAN%3E27817919%3C%2FAN%3E,Schmidt,Gregory,A,m
20,4,Ophthalmology,124,1,36,2017,1,28-Jun-16,Incidence and Outcomes of Positive Donor Corneoscleral Rim Fungal Cultures after Keratoplasty.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=27817919,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:27817919&id=doi:10.1016%2Fj.ophtha.2016.09.017&issn=0161-6420&isbn=&volume=124&issue=1&spage=36&date=2017&title=Ophthalmology&atitle=Incidence+and+Outcomes+of+Positive+Donor+Corneoscleral+Rim+Fungal+Cultures+after+Keratoplasty.&aulast=Vislisel&pid=%3CAN%3E27817919%3C%2FAN%3E,Aldrich,Benjamin,T,m
21,4,Ophthalmology,124,1,36,2017,1,28-Jun-16,Incidence and Outcomes of Positive Donor Corneoscleral Rim Fungal Cultures after Keratoplasty.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=27817919,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:27817919&id=doi:10.1016%2Fj.ophtha.2016.09.017&issn=0161-6420&isbn=&volume=124&issue=1&spage=36&date=2017&title=Ophthalmology&atitle=Incidence+and+Outcomes+of+Positive+Donor+Corneoscleral+Rim+Fungal+Cultures+after+Keratoplasty.&aulast=Vislisel&pid=%3CAN%3E27817919%3C%2FAN%3E,Skeie,Jessica,M,m
22,4,Ophthalmology,124,1,36,2017,1,28-Jun-16,Incidence and Outcomes of Positive Donor Corneoscleral Rim Fungal Cultures after Keratoplasty.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=27817919,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:27817919&id=doi:10.1016%2Fj.ophtha.2016.09.017&issn=0161-6420&isbn=&volume=124&issue=1&spage=36&date=2017&title=Ophthalmology&atitle=Incidence+and+Outcomes+of+Positive+Donor+Corneoscleral+Rim+Fungal+Cultures+after+Keratoplasty.&aulast=Vislisel&pid=%3CAN%3E27817919%3C%2FAN%3E,Reed,Cynthia,R,m
23,4,Ophthalmology,124,1,36,2017,1,28-Jun-16,Incidence and Outcomes of Positive Donor Corneoscleral Rim Fungal Cultures after Keratoplasty.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=27817919,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:27817919&id=doi:10.1016%2Fj.ophtha.2016.09.017&issn=0161-6420&isbn=&volume=124&issue=1&spage=36&date=2017&title=Ophthalmology&atitle=Incidence+and+Outcomes+of+Positive+Donor+Corneoscleral+Rim+Fungal+Cultures+after+Keratoplasty.&aulast=Vislisel&pid=%3CAN%3E27817919%3C%2FAN%3E,Zimmerman,M,Bridget,m
24,4,Ophthalmology,124,1,36,2017,1,28-Jun-16,Incidence and Outcomes of Positive Donor Corneoscleral Rim Fungal Cultures after Keratoplasty.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=27817919,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:27817919&id=doi:10.1016%2Fj.ophtha.2016.09.017&issn=0161-6420&isbn=&volume=124&issue=1&spage=36&date=2017&title=Ophthalmology&atitle=Incidence+and+Outcomes+of+Positive+Donor+Corneoscleral+Rim+Fungal+Cultures+after+Keratoplasty.&aulast=Vislisel&pid=%3CAN%3E27817919%3C%2FAN%3E,Greiner,Mark,A,l
25,5,Ophthalmology,124,1,43,2017,1,26-Jul-16,"A Randomized, Double-Masked, Placebo-Controlled Clinical Trial of Two Forms of Omega-3 Supplements for Treating Dry Eye Disease.",https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=27817918,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:27817918&id=doi:10.1016%2Fj.ophtha.2016.09.023&issn=0161-6420&isbn=&volume=124&issue=1&spage=43&date=2017&title=Ophthalmology&atitle=A+Randomized%2C+Double-Masked%2C+Placebo-Controlled+Clinical+Trial+of+Two+Forms+of+Omega-3+Supplements+for+Treating+Dry+Eye+Disease.&aulast=Deinema&pid=%3CAN%3E27817918%3C%2FAN%3E,Deinema,Laura,A,f
26,5,Ophthalmology,124,1,43,2017,1,26-Jul-16,"A Randomized, Double-Masked, Placebo-Controlled Clinical Trial of Two Forms of Omega-3 Supplements for Treating Dry Eye Disease.",https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=27817918,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:27817918&id=doi:10.1016%2Fj.ophtha.2016.09.023&issn=0161-6420&isbn=&volume=124&issue=1&spage=43&date=2017&title=Ophthalmology&atitle=A+Randomized%2C+Double-Masked%2C+Placebo-Controlled+Clinical+Trial+of+Two+Forms+of+Omega-3+Supplements+for+Treating+Dry+Eye+Disease.&aulast=Deinema&pid=%3CAN%3E27817918%3C%2FAN%3E,Vingrys,Algis,J,m
27,5,Ophthalmology,124,1,43,2017,1,26-Jul-16,"A Randomized, Double-Masked, Placebo-Controlled Clinical Trial of Two Forms of Omega-3 Supplements for Treating Dry Eye Disease.",https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=27817918,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:27817918&id=doi:10.1016%2Fj.ophtha.2016.09.023&issn=0161-6420&isbn=&volume=124&issue=1&spage=43&date=2017&title=Ophthalmology&atitle=A+Randomized%2C+Double-Masked%2C+Placebo-Controlled+Clinical+Trial+of+Two+Forms+of+Omega-3+Supplements+for+Treating+Dry+Eye+Disease.&aulast=Deinema&pid=%3CAN%3E27817918%3C%2FAN%3E,Wong,Chinn,Yi,m
28,5,Ophthalmology,124,1,43,2017,1,26-Jul-16,"A Randomized, Double-Masked, Placebo-Controlled Clinical Trial of Two Forms of Omega-3 Supplements for Treating Dry Eye Disease.",https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=27817918,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:27817918&id=doi:10.1016%2Fj.ophtha.2016.09.023&issn=0161-6420&isbn=&volume=124&issue=1&spage=43&date=2017&title=Ophthalmology&atitle=A+Randomized%2C+Double-Masked%2C+Placebo-Controlled+Clinical+Trial+of+Two+Forms+of+Omega-3+Supplements+for+Treating+Dry+Eye+Disease.&aulast=Deinema&pid=%3CAN%3E27817918%3C%2FAN%3E,Jackson,David,C,m
29,5,Ophthalmology,124,1,43,2017,1,26-Jul-16,"A Randomized, Double-Masked, Placebo-Controlled Clinical Trial of Two Forms of Omega-3 Supplements for Treating Dry Eye Disease.",https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=27817918,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:27817918&id=doi:10.1016%2Fj.ophtha.2016.09.023&issn=0161-6420&isbn=&volume=124&issue=1&spage=43&date=2017&title=Ophthalmology&atitle=A+Randomized%2C+Double-Masked%2C+Placebo-Controlled+Clinical+Trial+of+Two+Forms+of+Omega-3+Supplements+for+Treating+Dry+Eye+Disease.&aulast=Deinema&pid=%3CAN%3E27817918%3C%2FAN%3E,Chinnery,Holly,R,m
30,5,Ophthalmology,124,1,43,2017,1,26-Jul-16,"A Randomized, Double-Masked, Placebo-Controlled Clinical Trial of Two Forms of Omega-3 Supplements for Treating Dry Eye Disease.",https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=27817918,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:27817918&id=doi:10.1016%2Fj.ophtha.2016.09.023&issn=0161-6420&isbn=&volume=124&issue=1&spage=43&date=2017&title=Ophthalmology&atitle=A+Randomized%2C+Double-Masked%2C+Placebo-Controlled+Clinical+Trial+of+Two+Forms+of+Omega-3+Supplements+for+Treating+Dry+Eye+Disease.&aulast=Deinema&pid=%3CAN%3E27817918%3C%2FAN%3E,Downie,Laura,E,l
31,6,Ophthalmology,124,1,53,2017,1,15-Jul-16,"Lifitegrast for the Treatment of Dry Eye Disease: Results of a Phase III, Randomized, Double-Masked, Placebo-Controlled Trial (OPUS-3).",https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=medc&AN=28079022,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:28079022&id=doi:10.1016%2Fj.ophtha.2016.09.025&issn=0161-6420&isbn=&volume=124&issue=1&spage=53&date=2017&title=Ophthalmology&atitle=Lifitegrast+for+the+Treatment+of+Dry+Eye+Disease%3A+Results+of+a+Phase+III%2C+Randomized%2C+Double-Masked%2C+Placebo-Controlled+Trial+%28OPUS-3%29.&aulast=Holland&pid=%3CAN%3E28079022%3C%2FAN%3E,Holland,Edward,J,f
32,6,Ophthalmology,124,1,53,2017,1,15-Jul-16,"Lifitegrast for the Treatment of Dry Eye Disease: Results of a Phase III, Randomized, Double-Masked, Placebo-Controlled Trial (OPUS-3).",https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=medc&AN=28079022,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:28079022&id=doi:10.1016%2Fj.ophtha.2016.09.025&issn=0161-6420&isbn=&volume=124&issue=1&spage=53&date=2017&title=Ophthalmology&atitle=Lifitegrast+for+the+Treatment+of+Dry+Eye+Disease%3A+Results+of+a+Phase+III%2C+Randomized%2C+Double-Masked%2C+Placebo-Controlled+Trial+%28OPUS-3%29.&aulast=Holland&pid=%3CAN%3E28079022%3C%2FAN%3E,Luchs,Jodi,,m
